Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,-83.74,-44.8,-135,bottom
C2,22pF,C_0805_2012Metric,-100.868,-44.474,135,bottom
C3,22pF,C_0805_2012Metric,-100.106,-47.522,45,bottom
C4,0.1uF,C_0805_2012Metric,-80.2,-44.48,-90,bottom
C5,10uF,C_0805_2012Metric,-78.14,-44.48,-90,bottom
C6,0.1uF,C_0805_2012Metric,-76.14,-44.48,-90,bottom
D0,1N4448,D_SOD123,-68.99,-42.33,90,bottom
D1,1N4448,D_SOD123,-71.99,-35.33,90,bottom
D2,1N4448,D_SOD123,-90.69,-33.33,90,bottom
D3,1N4448,D_SOD123,-109.69,-33.33,90,bottom
D4,1N4448,D_SOD123,-128.99,-33.33,90,bottom
D5,1N4448,D_SOD123,-147.97,-35.46,90,bottom
D6,1N4448,D_SOD123,-166.89,-33.33,90,bottom
D7,1N4448,D_SOD123,-185.99,-33.33,90,bottom
D8,1N4448,D_SOD123,-204.99,-33.33,90,bottom
D9,1N4448,D_SOD123,-223.99,-33.33,90,bottom
D10,1N4448,D_SOD123,-68.99,-52.33,-90,bottom
D11,1N4448,D_SOD123,-71.99,-52.33,-90,bottom
D12,1N4448,D_SOD123,-107.03,-51.84,-90,bottom
D13,1N4448,D_SOD123,-109.775,-51.9,-90,bottom
D14,1N4448,D_SOD123,-128.99,-51.9,-90,bottom
D15,1N4448,D_SOD123,-147.825,-51.925,-90,bottom
D16,1N4448,D_SOD123,-166.925,-51.925,-90,bottom
D17,1N4448,D_SOD123,-185.99,-51.93,-90,bottom
D18,1N4448,D_SOD123,-204.99,-51.73,-90,bottom
D19,1N4448,D_SOD123,-223.99,-51.73,-90,bottom
D20,1N4448,D_SOD123,-53.49,-70.33,-90,bottom
D21,1N4448,D_SOD123,-72.49,-70.33,-90,bottom
D22,1N4448,D_SOD123,-91.74,-70.33,-90,bottom
D23,1N4448,D_SOD123,-110.74,-70.33,-90,bottom
D24,1N4448,D_SOD123,-129.69,-70.36,-90,bottom
D25,1N4448,D_SOD123,-148.8,-70.33,-90,bottom
D26,1N4448,D_SOD123,-167.99,-70.33,-90,bottom
D27,1N4448,D_SOD123,-186.99,-70.33,-90,bottom
D28,1N4448,D_SOD123,-205.99,-70.33,-90,bottom
D29,1N4448,D_SOD123,-224.99,-70.33,-90,bottom
D30,1N4448,D_SOD123,-69.65,-70.32,-90,bottom
D31,1N4448,D_SOD123,-88.75,-70.325,-90,bottom
D32,1N4448,D_SOD123,-107.85,-70.325,-90,bottom
D33,1N4448,D_SOD123,-126.85,-70.35,-90,bottom
D35,1N4448,D_SOD123,-145.82,-70.29,-90,bottom
D36,1N4448,D_SOD123,-165.3,-70.35,-90,bottom
D37,1N4448,D_SOD123,-183.99,-70.33,-90,bottom
D38,1N4448,D_SOD123,-202.99,-70.33,-90,bottom
D39,1N4448,D_SOD123,-222.1,-70.35,-90,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,-138.98,-27.46,180,bottom
G***,LOGO,vial_logo,-166.6556,-83.813229,180,bottom
G***,LOGO,qmk,-159.569694,-64.388251,180,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-146.715,-21.0425,0,bottom
JP1,Jumper_3_Open,3_Pin_Jumper,-76.735,-46.949,0,bottom
R1,22,R_0805_2012Metric,-144.75,-31.89,180,bottom
R2,22,R_0805_2012Metric,-144.75,-33.86,0,bottom
R3,10k,R_0805_2012Metric,-82.61,-51.63,0,bottom
R4,"5,1k",R_0805_2012Metric,-146.22,-27.59,180,bottom
R5,"5,1k",R_0805_2012Metric,-154.95,-27.08,180,bottom
R6,10k,R_0805_2012Metric,-92.85,-56.45,180,bottom
SW1,SW_PUSH,SW_SPST_TL3342,-57.71,-46.42,180,bottom
U1,ATmega32U2-A,TQFP-32_7x7mm_P0.8mm,-89.88,-47.75,-135,bottom
U2,SRV05-4,SOT-23-6,-150.05,-29.54,180,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-97.82,-45.236,-45,bottom
