Ref,Val,Package,PosX,PosY,Rot,Side
"1.5u1","1.5u","Kailh_socket_MX_optional",122.902500,-92.480000,0.000000,top
"1.5u2","1.5u","Kailh_socket_MX_optional",170.527500,-92.480000,0.000000,top
"1u1","1u","Kailh_socket_MX_optional",60.990000,-92.480000,0.000000,top
"1u2","1u","Kailh_socket_MX_optional",80.040000,-92.480000,0.000000,top
"1u3","1u","Kailh_socket_MX_optional",99.090000,-92.480000,0.000000,top
"1u6","1u","Kailh_socket_MX_optional",194.340000,-92.480000,0.000000,top
"1u7","1u","Kailh_socket_MX_optional",213.390000,-92.480000,0.000000,top
"1u8","1u","Kailh_socket_MX_optional",232.440000,-92.460000,0.000000,top
"1u_space1","1u","Kailh_socket_MX_optional",70.515000,-92.480000,0.000000,top
"1u_space2","1u","Kailh_socket_MX_optional",222.915000,-92.480000,0.000000,top
"2u1","2u","Kailh_socket_MX_optional",127.665000,-92.480000,0.000000,top
"2u2","2u","Kailh_socket_MX_optional",165.765000,-92.480000,0.000000,top
"K0","1u","Kailh_socket_MX_optional",60.990000,-35.330000,0.000000,top
"K1","1u","Kailh_socket_MX_optional",80.040000,-35.330000,0.000000,top
"K2","1u","Kailh_socket_MX_optional",99.090000,-35.330000,0.000000,top
"K3","1u","Kailh_socket_MX_optional",118.140000,-35.330000,0.000000,top
"K4","1u","Kailh_socket_MX_optional",137.190000,-35.330000,0.000000,top
"K5","1u","Kailh_socket_MX_optional",156.240000,-35.330000,0.000000,top
"K6","1u","Kailh_socket_MX_optional",175.290000,-35.330000,0.000000,top
"K7","1u","Kailh_socket_MX_optional",194.340000,-35.330000,0.000000,top
"K8","1u","Kailh_socket_MX_optional",213.390000,-35.330000,0.000000,top
"K9","1u","Kailh_socket_MX_optional",232.440000,-35.330000,0.000000,top
"K10","1u","Kailh_socket_MX_optional",60.990000,-54.380000,0.000000,top
"K11","1u","Kailh_socket_MX_optional",80.040000,-54.380000,0.000000,top
"K12","1u","Kailh_socket_MX_optional",99.090000,-54.380000,0.000000,top
"K13","1u","Kailh_socket_MX_optional",118.140000,-54.380000,0.000000,top
"K14","1u","Kailh_socket_MX_optional",137.190000,-54.380000,0.000000,top
"K15","1u","Kailh_socket_MX_optional",156.240000,-54.380000,0.000000,top
"K16","1u","Kailh_socket_MX_optional",175.290000,-54.380000,0.000000,top
"K17","1u","Kailh_socket_MX_optional",194.340000,-54.380000,0.000000,top
"K18","1u","Kailh_socket_MX_optional",213.390000,-54.380000,0.000000,top
"K19","1u","Kailh_socket_MX_optional",232.440000,-54.380000,0.000000,top
"K20","1u","Kailh_socket_MX_optional",60.990000,-73.430000,0.000000,top
"K21","1u","Kailh_socket_MX_optional",80.040000,-73.430000,0.000000,top
"K22","1u","Kailh_socket_MX_optional",99.090000,-73.430000,0.000000,top
"K23","1u","Kailh_socket_MX_optional",118.140000,-73.430000,0.000000,top
"K24","1u","Kailh_socket_MX_optional",137.190000,-73.430000,0.000000,top
"K25","1u","Kailh_socket_MX_optional",156.240000,-73.430000,0.000000,top
"K26","1u","Kailh_socket_MX_optional",175.290000,-73.430000,0.000000,top
"K27","1u","Kailh_socket_MX_optional",194.340000,-73.430000,0.000000,top
"K28","1u","Kailh_socket_MX_optional",213.390000,-73.430000,0.000000,top
"K29","1u","Kailh_socket_MX_optional",232.440000,-73.430000,0.000000,top
"SPACE1","7u","Kailh_socket_MX_optional",146.715000,-92.480000,0.000000,top
